id;cep;street;number;complement;district;city;uf
1;among nic;Ritchie Route;worth booh;cannibalise;lest;Cheektowaga;SP
2;brisk far;Ebba Vista;absentmind;antelope;absent unabashedly;South Vernice;MS
3;blah stab;Konopelski Views;focalise;compassionate steak;than monthly;Lake Margiefield;GO
4;why what;Alexys Mall;personalis;on highly;paralyse as formamide;Hammesfort;RJ
5;bowed cle;Neil Station;putrid whi;affectionate convince off;underneath;Lake Kiel;PI
6;psst surf;Jordyn Forks;pish gosh;jumbo;ugh;Casperborough;SE
7;times ele;Harvey Island;grandiose;briefly;shy showy;Kshlerinmouth;PB
8;brilliant;Treutel Cove;belabor me;flame disposer coolly;common;Mableville;PB
9;mouser bo;Hauck Route;although;where though;front once;Wilberworth;BA
10;newslette;13th Street;because li;exactly;soybean;Allentown;PA
